"Manage Customer Reviews","Manage Customer Reviews"
"The MageUp Product Review has been successfully deleted.","The MageUp Product Review has been successfully deleted."
"Could not delete MageUp Product Review.","Could not delete MageUp Product Review."
"Could not initialize the MageUp Product Review.","Could not initialize the MageUp Product Review."
"The MageUp Product Review has been successfully approved.","The MageUp Product Review has been successfully approved."
"Could not approve MageUp Product Review.","Could not approve MageUp Product Review."
"The MageUp Product Review has been successfully declined.","The MageUp Product Review has been successfully declined."
"Could not decline MageUp Product Review.","Could not decline MageUp Product Review."
"The MageUp Product Review has been successfully saved.","The MageUp Product Review has been successfully saved."
"Could not save MageUp Product Review.","Could not save MageUp Product Review."
"Please select review(s).","Please select review(s)."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"An error occurred while deleting the selected review(s).","An error occurred while deleting the selected review(s)."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"An error occurred while updating the selected review(s).","An error occurred while updating the selected review(s)."
"The Ip Address (%s) has been banned.","The Ip Address (%s) has been banned."
"An error occurred while banning the Ip Address.","An error occurred while banning the Ip Address."
"An error occurred while banning the Customer.","An error occurred while banning the Customer."
"The customer (id: %s) has been banned.","The customer (id: %s) has been banned."
"The ban was released from the Ip Address (%s).","The ban was released from the Ip Address (%s)."
"An error occurred while releasing ban from the Ip Address.","An error occurred while releasing ban from the Ip Address."
"The a customer (id: %s) has been unbanned.","The a customer (id: %s) has been unbanned."
"An error occurred while releasing ban from the Customer.","An error occurred while releasing ban from the Customer."
"Could not load product for reviews.","Could not load product for reviews."
"Empty Nickname or Review fields.","Empty Nickname or Review fields."
"Your review has been created successfully.","Your review has been created successfully."
"Your review has been created successfully and submitted for moderation.","Your review has been created successfully and submitted for moderation."
"There was an error during saving your review. Please try again later.","There was an error during saving your review. Please try again later."
"Can not initialize Review.","Can not initialize Review."
"You have already liked this review.","You have already liked this review."
"You have already voted for this review.","You have already voted for this review."
"You can not vote for your own review.","You can not vote for your own review."
"There was an error. Please try again later.","There was an error. Please try again later."
"The Review has been removed by the administrator.","The Review has been removed by the administrator."
"Can not load parent Review.","Can not load parent Review."
"Unfortunately you can not leave review on this site. Please contact administrator of the site for clarification.","Unfortunately you can not leave review on this site. Please contact administrator of the site for clarification."
"Add Your Review","Add Your Review"
"%d Review(s)","%d Review(s)"
"Be the first to review this product","Be the first to review this product"
"This review has received too many negative votes.","This review has received too many negative votes."
"Show","Show"
"Thumb down","Thumb down"
"Thumbs up","Thumbs up"
"Please wait...","Please wait..."
"in reply to","in reply to"
"Show Review","Show Review"
"You need to Log In to respond.","You need to Log In to respond."
"Reply","Reply"
"Write Your Own Review","Write Your Own Review"
"Please Log In to leave reviews.","Please Log In to leave reviews."
"Nickname:","Nickname:"
"Review:","Review:"
"Submit","Submit"
"There was an error processing AJAX. Please try again later.","There was an error processing AJAX. Please try again later."
"You have exceed %d symbols limit.","You have exceed %d symbols limit."
"Reply to %s's review:","Reply to %s's review:"
"Cancel Reply","Cancel Reply"
"Leave a review...","Leave a review..."
"Nickname","Nickname"
"Today","Today"
"Yesterday","Yesterday"
"Show more reviews","Show more reviews"
"MageUp Product Reviews","MageUp Product Reviews"
"General","General"
"Enable module","Enable module"
"Enable Rating","Enable Rating"
"Guests can leave a Review","Guests can leave a Review"
"Settings","Settings"
"Auto approve Reviews","Auto approve Reviews"
"New Reviews are Approved from the start","New Reviews are Approved from the start"
"Character limit for Review field","Character limit for Review field"
"Max Dislike count for Review","Max Dislike count for Review"
"Sidebar Settings","Sidebar Settings"
"Enable sidebar","Enable sidebar"
"Sort","Sort"
"How much Reviews to display","How much Reviews to display"
"The Sidebar block title","The Sidebar block title"
"If no title is specified, it will be created automatically.","If no title is specified, it will be created automatically."
"The auto update mode","The auto update mode"
"Will work only with 'Latest' Reviews sorting mode.","Will work only with 'Latest' Reviews sorting mode."
"Excerpt symbols limit","Excerpt symbols limit"
"CAPTCHA Settings","CAPTCHA Settings"
"Enable captcha","Enable captcha"
"reCAPTCHA library Public Key","reCAPTCHA library Public Key"
"<![CDATA[You can obtain Public and Private keys for the reCAPTCHA library by this url: <a target=""_blank"" href=""https://www.google.com/recaptcha/admin/create"">reCAPTCHA</a>]]>","<![CDATA[You can obtain Public and Private keys for the reCAPTCHA library by this url: <a target=""_blank"" href=""https://www.google.com/recaptcha/admin/create"">reCAPTCHA</a>]]>"
"reCAPTCHA library Private Key","reCAPTCHA library Private Key"
"Product","Product"
"banned","banned"
"Guest","Guest"
"Posted By","Posted By"
"Nickname","Nickname"
"Remote Ip","Remote Ip"
"Status","Status"
"Review","Review"
"Customer Id","Customer Id"
"Ip Address","Ip Address"
"Type","Type"
"Parent Review Id","Parent Review Id"
"Rating %","Rating %"
"Status","Status"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Update Status","Update Status"
"Status","Status"
"Pending","Pending"
"Approved","Approved"
"Declined","Declined"
"Reviews Management","Reviews Management"
"Configuration","Configuration"
